id,created_at,text
1429225049794355207,2021-08-21 23:33:00,"Let's build Canada up, let's secure the future with a strong economy for all Canadians. https://t.co/8jjPXc1n0U"
1429224798165504003,2021-08-21 23:32:00,"Bâtissons le Canada, agissons pour l'avenir grâce à une économie forte pour tous les Canadiens. https://t.co/zppCA8PRBi"
1429145022411132928,2021-08-21 18:15:00,I’m ready to get to work ​​🇨🇦 https://t.co/H987sQbXRc
1429144770673217536,2021-08-21 18:14:00,Je suis prêt à travailler. 🇨🇦 https://t.co/4iK9GyH9I5
1429126722356715525,2021-08-21 17:02:17,"#ENDIRECT: Nous allons soutenir les personnes handicapées, en doublant  le supplément pour invalidité de l’Allocation canadienne pour les travailleurs canadiens, pour le faire passer de 713 $ à 1 500 $."
1429126508736569353,2021-08-21 17:01:26,"#LIVE: We'll provide funding to help Canadians with disabilities by doubling the Disability Supplement in the Canada Workers Benefit from $713 to $1,500. https://t.co/87WgnBvuW1"
1429084373056360450,2021-08-21 14:14:00,Canada's Recovery Plan will build 1 million new homes and ban foreign investors from buying homes so that hardworking Canadians can afford to buy a home. https://t.co/k4pKbQfaai
1429036054733017093,2021-08-21 11:02:00,We will support Canadians living with disabilities by doubling the Disability Supplement in the Canada Workers Benefit. https://t.co/LOUYc62M4Q
1429035556458094604,2021-08-21 11:00:01,Nous aiderons les Canadiens vivant avec une invalidité en doublant le supplément pour invalidité dans l’Allocation canadienne pour les travailleurs. https://t.co/tlrJICciYb
1429027497967030276,2021-08-21 10:28:00,"Nous allons travailler avec le Québec pour appliquer la Loi 101 aux entreprises à charte fédérale comme les banques, les compagnies de télécommunications et les PME. Vous avez le droit de travailler et d'être servi en français! https://t.co/j9QR38zPTq"
1428826171328720899,2021-08-20 21:08:00,"The cost of living is rising dramatically and hardworking Canadians are paying the price. We will provide immediate relief against the rising cost of living and get our economy heading in the right direction 🇨🇦

https://t.co/kYi8LeSQ86"
1428825416777695238,2021-08-20 21:05:00,"Le coût de la vie augmente de façon considérable et les Canadiens qui travaillent fort en paient le prix. Nous apporterons un soulagement immédiat contre la hausse du coût de la vie et mettrons notre économie sur la bonne voie 🇨🇦

https://t.co/idHCjRdC3e"
1428802049144246272,2021-08-20 19:32:09,"We will secure jobs by paying 25% of the salary of new hires for six months, with a bonus for people who have been out of work for over 6 months. https://t.co/FxUgx8KOyM"
1428768625679339532,2021-08-20 17:19:20,"We can't afford more of the same 🙅‍♂️. 

Let’s get Canada’s economy back on track. https://t.co/cIG5zfIXjc"
1428768312775823366,2021-08-20 17:18:05,"Nous ne pouvons pas nous permettre de continuer avec la politique du pareil au même 🙅‍♂️.

Remettons l'économie canadienne sur les rails. https://t.co/J17RG6ERz0"
1428734654945927171,2021-08-20 15:04:21,#LIVE: The Canada Job Surge Plan will pay 25% of the salary of net new hires for six months and get more Canadians into jobs. https://t.co/MKlh6nc52Y
1428732005655666691,2021-08-20 14:53:49,I was a navigator on the Sea King helicopter and I got my wings in '96. This was the course patch on my flight suit. Great to be back in Winnipeg! https://t.co/yxsLvDXoBE
1428731915927003139,2021-08-20 14:53:27,J’étais navigateur à bord de l’hélicoptère Sea King et j’ai reçu mes ailes en 1996. C’était l’insigne sur ma combinaison de vol. Je suis heureux d'être de retour à Winnipeg! https://t.co/0xIPahGE5G
1428718385437806598,2021-08-20 13:59:42,🏠 We'll tackle the housing crisis by building 1 million new homes for Canadians and banning foreign investors from buying homes if they don't plan on living here. https://t.co/2JGqlGdWEp
1428689018468798466,2021-08-20 12:03:00,"☕  Strong coffee for a strong economy, let’s get to work.

​​☕ Un café fort pour une économie prospère! Mettons-nous au travail. https://t.co/WvRCcmHYlq"
1428673918596964353,2021-08-20 11:03:00,"#POLICY: We will pay 25% of the salary of new hires for six months, with a bonus for people who have been out of work for over 6 months. https://t.co/5m3HAfjpml"
1428673667383271425,2021-08-20 11:02:00,"#POLITIQUE : Nous paierons 25 % des salaires des nouveaux employés pendant six mois, avec une prime pour ceux qui ont été au chômage pendant six mois ou plus. https://t.co/YTJJWj5YYS"
